"filename", "language", "TypeScript", "Markdown", "JSON", "XML", "JavaScript", "JSON with Comments", "Docker", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 209, 0, 1, 19, 229
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\intern\components\AdminInternClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 183, 0, 0, 14, 197
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\intern\components\InsertInternForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 254, 0, 0, 22, 276
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\intern\components\UpdateInternForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 255, 0, 0, 22, 277
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\intern\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\reset\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 10, 102
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\supervisor\components\AdminSupervisorClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 21, 15, 189
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\supervisor\components\InsertSupervisorForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 18, 195
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\supervisor\components\UpdateSupervisorForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 18, 188
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\admin\supervisor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\api\auth\login\route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\api\auth\reset-password\route.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\api\intern\route.ts", "TypeScript", 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 180
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\api\supervisor\route.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 130
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 198, 11, 13, 222
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 18, 14, 107
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 13, 11, 137
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\history\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 5, 49
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 6, 61
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\intern\record\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 5, 7, 78
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 5, 49
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\not-authorized\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 11, 109
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\profile\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 2, 11
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 5, 35, 254
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\attendance\component\AttendanceClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 6, 47
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 180, 0, 11, 30, 221
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\inbox\component\SupervisorInboxClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 3, 6, 47
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\inbox\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 7, 29
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\internprofile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 168, 0, 12, 21, 201
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 101, 0, 6, 14, 121
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\app\supervisor\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\components\AttendanceButtonHandler.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
